Z	Radio
-21.582	9.877
-21.482	9.812
-21.382	9.749
-21.282	9.685
-21.182	9.622
-21.082	9.560
-20.982	9.499
-20.882	9.437
-20.782	9.376
-20.682	9.318
-20.582	9.258
-20.482	9.201
-20.382	9.145
-20.282	9.088
-20.182	9.031
-20.082	8.977
-19.982	8.923
-19.882	8.869
-19.782	8.816
-19.682	8.322
-19.582	7.869
-19.482	4.744
-19.382	3.768
-19.282	3.649
-19.182	3.574
-19.082	3.502
-18.982	3.433
-18.882	3.358
-18.782	3.285
-18.682	3.212
-18.582	3.145
-18.482	3.082
-18.382	3.024
-18.282	2.965
-18.182	2.911
-18.082	2.861
-17.982	2.815
-17.882	2.760
-17.782	2.708
-17.682	2.650
-17.582	2.594
-17.482	2.376
-17.382	2.264
-17.282	2.193
-17.182	2.143
-17.082	2.094
-16.982	2.060
-16.882	2.043
-16.782	2.044
-16.682	2.032
-16.582	2.026
-16.482	2.028
-16.382	2.036
-16.282	2.033
-16.182	2.033
-16.082	2.026
-15.982	2.020
-15.882	1.991
-15.782	1.967
-15.682	1.947
-15.582	1.932
-15.482	1.921
-15.382	1.915
-15.282	1.916
-15.182	1.922
-15.082	1.933
-14.982	1.948
-14.882	1.969
-14.782	1.994
-14.682	2.024
-14.582	2.058
-14.482	2.099
-14.382	2.141
-14.282	2.194
-14.182	2.244
-14.082	2.303
-13.982	2.366
-13.882	2.409
-13.782	2.455
-13.682	2.467
-13.582	2.484
-13.482	2.506
-13.382	2.533
-13.282	2.566
-13.182	2.602
-13.082	2.616
-12.982	2.634
-12.882	2.617
-12.782	2.602
-12.682	2.580
-12.582	2.560
-12.482	2.542
-12.382	2.525
-12.282	2.516
-12.182	2.509
-12.082	2.503
-11.982	2.499
-11.882	2.500
-11.782	2.502
-11.682	2.507
-11.582	2.515
-11.482	2.525
-11.382	2.538
-11.282	2.555
-11.182	2.574
-11.082	2.503
-10.982	2.574
-10.882	2.600
-10.782	2.628
-10.682	2.656
-10.582	2.686
-10.482	2.715
-10.382	2.746
-10.282	2.776
-10.182	2.808
-10.082	2.849
-9.982	2.892
-9.882	2.932
-9.782	2.974
-9.682	2.995
-9.582	3.020
-9.482	2.994
-9.382	2.973
-9.282	2.958
-9.182	2.948
-9.082	2.944
-8.982	2.945
-8.882	2.951
-8.782	2.962
-8.682	2.964
-8.582	2.970
-8.482	2.957
-8.382	2.948
-8.282	2.944
-8.182	2.942
-8.082	2.922
-7.982	2.906
-7.882	2.884
-7.782	2.870
-7.682	2.383
-7.582	2.054
-7.482	2.377
-7.382	2.833
-7.282	2.823
-7.182	2.815
-7.082	2.799
-6.982	2.784
-6.882	2.775
-6.782	2.768
-6.682	2.762
-6.582	2.757
-6.482	2.758
-6.382	2.759
-6.282	2.764
-6.182	2.770
-6.082	2.779
-5.982	2.790
-5.882	2.797
-5.782	2.806
-5.682	2.796
-5.582	2.788
-5.482	2.785
-5.382	2.783
-5.282	2.786
-5.182	2.790
-5.082	2.799
-4.982	2.811
-4.882	2.822
-4.782	2.834
-4.682	2.833
-4.582	2.833
-4.482	2.836
-4.382	2.841
-4.282	2.849
-4.182	2.858
-4.082	2.871
-3.982	2.887
-3.882	2.903
-3.782	2.922
-3.682	2.945
-3.582	2.970
-3.482	2.997
-3.382	3.025
-3.282	3.056
-3.182	3.089
-3.082	3.125
-2.982	3.163
-2.882	3.202
-2.782	3.244
-2.682	3.287
-2.582	3.331
-2.482	3.363
-2.382	3.396
-2.282	3.409
-2.182	3.423
-2.082	3.420
-1.982	3.415
-1.882	3.409
-1.782	3.405
-1.682	3.391
-1.582	3.379
-1.482	3.354
-1.382	3.330
-1.282	3.305
-1.182	3.281
-1.082	3.259
-0.982	3.239
-0.882	3.222
-0.782	3.207
-0.682	3.194
-0.582	3.184
-0.482	3.177
-0.382	3.171
-0.282	3.169
-0.182	3.169
-0.082	3.171
0.018	3.175
0.118	3.182
0.218	3.191
0.318	3.203
0.418	3.217
0.518	3.233
0.618	3.251
0.718	3.272
0.818	3.295
0.918	3.321
1.018	3.350
1.118	3.378
1.218	3.406
1.318	3.439
1.418	3.473
1.518	3.509
1.618	3.549
1.718	3.591
1.818	3.634
1.918	3.646
2.018	3.658
2.118	3.664
2.218	3.670
2.318	3.680
2.418	3.691
2.518	3.706
2.618	3.724
2.718	3.743
2.818	3.764
2.918	3.784
3.018	3.804
3.118	3.800
3.218	3.799
3.318	3.784
3.418	3.773
3.518	3.692
3.618	3.778
3.718	3.849
3.818	3.946
3.918	3.933
4.018	3.928
4.118	3.910
4.218	3.902
4.318	3.887
4.418	3.878
4.518	3.874
4.618	3.874
4.718	3.872
4.818	3.880
4.918	3.858
5.018	3.843
5.118	3.833
5.218	3.828
5.318	3.830
5.418	3.838
5.518	3.792
5.618	3.747
5.718	3.681
5.818	3.616
5.918	3.554
6.018	3.495
6.118	3.438
6.218	3.384
6.318	3.334
6.418	3.287
6.518	3.243
6.618	3.201
6.718	3.164
6.818	3.130
6.918	3.099
7.018	3.071
7.118	3.047
7.218	3.026
7.318	3.011
7.418	2.998
7.518	2.989
7.618	2.983
7.718	2.983
7.818	2.984
7.918	2.991
8.018	3.000
8.118	3.013
8.218	3.029
8.318	3.050
8.418	3.074
8.518	3.098
8.618	3.125
8.718	3.155
8.818	3.188
8.918	3.224
9.018	3.264
9.118	3.347
9.218	4.201
9.318	5.636
9.418	7.772
9.518	7.852
9.618	7.933
9.718	8.015
9.818	8.098
9.918	8.181
10.018	8.264
10.118	8.347
10.218	8.430
10.318	8.515
10.418	8.600
10.518	8.685
10.618	8.771
10.718	8.857
10.818	8.943
10.918	9.030
11.018	9.117
11.118	9.204
11.218	9.291
11.318	9.380
11.418	9.468
11.518	9.557
11.618	9.646
11.718	9.735
11.818	9.825
11.918	9.915
12.018	9.940
12.118	9.941
12.218	9.942
12.318	9.947
12.418	9.951
12.518	9.956
12.618	9.962
12.718	9.969
12.818	9.977
12.918	9.986
13.018	9.997
